区域,北京,餐饮类型,火锅,店铺id,264019,店铺名称,东来顺饭庄（三里河店）,经度,116.346527,纬度,39.911789
用户,星级,评论
匿名用户,1.0,这次吃的东来顺彻底把我对东来顺的印象摸黑了   服务极差，等位都没有叫号的  而且还是手写了一个小纸条让你拿着   上菜极慢，吃火锅竟然会慢，我也是服了这家店了
_qq2tc1436015101,5.0,味道正宗，菜品新鲜，服务不错
Sev922368567,3.0,还不错，菜挺好吃的，服务也行，就只有一种小料
老兵老兵老兵,3.0,位置不错哦味道不错哦！下次还去哟！
匿名用户,1.0,难吃。太难吃了。吃完了闹肚子。蘸料麻将一点味道都没有。肉根本就不是牛肉。
匿名用户,1.0,菜不是很新鲜的感觉，肉也不好吃，感觉这是吃的最差的一家东来顺了，环境也不好，以后都不会去吃的了
RSk428850187,2.0,菜品质量很一般。环境也很一般。价格也高！
匿名用户,1.0,味道没问题，服务态度极差，又不是吃霸王餐，从头到尾服务员都拉着脸
蒋大星1989,3.0,跟同事一起，团购实惠，性价比高！
匿名用户,1.0,非常差，无力吐槽，整个饭店全是油腻的中年人在喝酒。价格奇贵，吃过这么多家东来顺，这绝对是最差的一家。
匿名用户,1.0,味道挺咸的，而且不好吃，菜都不新鲜个别服务员服务差。
JJu628034600,3.0,菜品还行，服务态度一般，环境一般。
xbt880042652,2.0,菜要自己催，慢。肉比较难吃，好处就是量比较大
匿名用户,2.0,桌位太少，需要等，美团还要等2个小时，
匿名用户,4.0,团购的八人餐，不用自己点很省心😀店家服务态度也不错，菜量很足，总之以后有需要还会再来，不错不错(*๓´╰╯`๓)♡
EgO214924029,3.0,环境不错，不用等待，上菜很快，肉很好的，鱼丸很腥没法吃，没有粉丝
匿名用户,5.0,价格实惠，味道美味，服务态度好
rygyz,5.0,楼上临窗的环境很好，外地朋友来了经常来这里请客，百年老字号，有名气，团餐很实惠，又免了点菜的麻烦，量大，搭配很合理，团餐也一样热情接待，必须来！
Njg977605126,1.0,我感觉吃到假的东来顺火锅了、第一、服务员态度真的没有态度，我就是去吃一碗拉面一家也不会这样的、从头到尾就像欠了她们八百块钱是的、一张张的苦瓜脸像家里🈶️什么大事的一样、可能因为我们是团的🈶️一种被歧视的感觉，我只想说一万个⋯第二、菜品都是一些垃圾、真心的还不如路边的小店、难道就是因为我们是团的东西上的都可以不一样的了、第三、环境真的不行，还不干净卫生、真心的建议大家不要去试了、上当受骗还受气最不能忍受的是看服务员脸色。可以关门大吉了
七斗八簸箕,1.0,差差差，真心很差，服务最差，美团菜品搭配不合理，
TZL847387431,4.0,服务太少了总是没人理。
七米海岸0312,4.0,菜品一般，量比较足，整体最大的感觉实惠
匿名用户,3.0,总体不错，只有一点美团订套餐会被抵触，到了需要另加。
rygyz,5.0,环境优雅古朴，工作日中午请朋友小聚来的，人不多，临窗的位置感觉很好，团餐很实惠，菜量不小，还会来。
匿名用户,2.0,冲着大名鼎鼎的东来顺去的，结果，呵呵。真想给无限好评，这样来吐槽的就不止我一个了😨😨我不知道是不是美团的有差别待遇，这个套餐算是便宜得，肉的质量就不敢恭维了，牛肉虽然有点柴，但是羊肉是我吃过最差的羊肉，除了一股膻味充满了鸭肉的口感。酱料就跟我之前吃过的东来顺真的没法比，除了咸没别的味。两颗星，一颗给价格，一颗给服务，不能再多了。唯一好评的就是服务态度了，小哥哥小姐姐们随叫随到，态度很好。只是我真的不明白，都是东来顺，差距怎么就这么大呢（自行脑补小沈阳）
绿蠡,4.0,味道还不错。
匿名用户,4.0,价格实惠，非常不错！
匿名用户,1.0,有点店大欺客的态度，服务员态度太差了，好像我欠他100万似的，坚决不能吃
匿名用户,1.0,服务员比省部级领导都都牛，还真以为在三里河，就是部级单位了
甜美系芭娜娜,2.0,"一进门的时候挺热情 后来知道我是美团上订的（两小时后到达）态度就不好了
【口味】挺好吃 料也不错
【环境】有点拥挤 不存在什么问题
【服务】服务不好 水也没给倒 还一脸不耐烦的样子就算他家火锅好吃下次我也不会去了"
TOL492459946,4.0,分量足
yz66666666666666,5.0,吃的还可以  挺多的   最后还剩下了好些，量足
宇宙掌门人,3.0,"不错啊！值得购买！
【口味】
【环境】
【服务】"
RLo991511947,4.0,四个人的餐，三个人来吃的，吃的都挺撑了
LQs979775137,4.0,非常实惠
